scenario_id,category,title,preconditions,action,expected,actual,result,error,severity,root_cause,fix,regression_test
agent.intent.malformed.1,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.2,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.3,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.4,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.5,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.6,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.7,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.8,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.9,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.10,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.11,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.12,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.13,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.14,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.15,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.16,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.17,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.18,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.19,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.20,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.21,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.22,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.23,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.24,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.25,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.26,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.27,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.28,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.29,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.30,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.31,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.32,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.33,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.34,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.35,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.36,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.37,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.38,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.39,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.40,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.41,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.42,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.43,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.44,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.45,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.46,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.47,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.48,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.49,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.50,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.51,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.52,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.53,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.54,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.55,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
agent.intent.malformed.56,agent.intent.malformed,"invariant check","","","","{""invariant"":true}",pass,"",P3,"","",""
